,without noise,gamma = 0.9987,gamma = 0.9991,gamma = 0.9995,gamma = 0.9999,gamma = 1
1,0.2551,0.1411,0.2017,0.0897,0.1648,0.2095
2,0.3149,0.2511,0.2253,0.2196,0.2842,0.1684
3,0.3618,0.2905,0.3734,0.259,0.3316,0.1674
4,0.4038,0.3256,0.3374,0.2756,0.535,0.3262
5,0.5053,0.3597,0.4129,0.31,0.4974,0.3158
6,0.5502,0.3607,0.3902,0.3872,0.5311,0.3551
7,0.5836,0.4645,0.4528,0.3749,0.5493,0.4757
8,0.626,0.4487,0.4849,0.4242,0.5959,0.5262
9,0.6256,0.4941,0.5356,0.4675,0.5741,0.5073
10,0.652,0.4819,0.5464,0.5314,0.5404,0.5435
11,0.6653,0.5218,0.5477,0.5205,0.5615,0.547
12,0.6842,0.5409,0.5671,0.5638,0.5901,0.5305
13,0.6975,0.5648,0.5981,0.559,0.6126,0.5712
14,0.7174,0.6012,0.6142,0.5906,0.632,0.5403
15,0.729,0.5947,0.59,0.5964,0.6452,0.5415
16,0.7405,0.597,0.6141,0.5979,0.6322,0.5456
17,0.7495,0.631,0.6309,0.6069,0.6696,0.5378
18,0.7589,0.6055,0.6278,0.6065,0.6281,0.5869
19,0.772,0.6308,0.648,0.6298,0.6605,0.5895
20,0.7816,0.6724,0.6491,0.6267,0.6554,0.6122
21,0.7907,0.6391,0.6531,0.6318,0.7017,0.5907
22,0.7977,0.6473,0.6638,0.6524,0.6904,0.622
23,0.807,0.6661,0.66,0.6558,0.6695,0.6496
24,0.8142,0.6735,0.6715,0.6577,0.6828,0.6491
25,0.8209,0.6902,0.6749,0.6624,0.6909,0.6772
26,0.8281,0.6706,0.6832,0.6791,0.7026,0.6931
27,0.834,0.6801,0.6844,0.6939,0.69,0.6918
28,0.8384,0.7015,0.6934,0.691,0.7009,0.7079
29,0.8431,0.7054,0.7064,0.6791,0.6788,0.6963
30,0.8483,0.6953,0.7057,0.6936,0.6939,0.7064
31,0.8541,0.6949,0.7075,0.6862,0.7065,0.7191
32,0.8608,0.7094,0.7054,0.6877,0.728,0.7184
33,0.8662,0.7056,0.7029,0.6882,0.7248,0.7308
34,0.8723,0.7207,0.7162,0.6792,0.7203,0.7011
35,0.877,0.716,0.7024,0.6932,0.723,0.7333
36,0.8819,0.7217,0.7136,0.6758,0.7246,0.7074
37,0.8861,0.7275,0.7183,0.68,0.7115,0.723
38,0.8912,0.7321,0.7254,0.6729,0.7123,0.7138
39,0.896,0.7402,0.7232,0.6861,0.7198,0.7027
40,0.8982,0.7386,0.7161,0.6983,0.7147,0.7168
41,0.9016,0.7427,0.7164,0.7005,0.7309,0.7154
42,0.9032,0.7404,0.721,0.6948,0.7276,0.7147
43,0.9056,0.7369,0.7265,0.7071,0.7294,0.6958
44,0.9071,0.7404,0.7274,0.7163,0.7263,0.7062
45,0.9086,0.7392,0.7251,0.7189,0.7212,0.7174
46,0.9109,0.7416,0.7328,0.717,0.7022,0.7128
47,0.9121,0.7473,0.7381,0.7245,0.7075,0.7126
48,0.9141,0.7529,0.7409,0.7212,0.7323,0.7071
49,0.9167,0.751,0.7479,0.7338,0.732,0.7167
50,0.9168,0.7468,0.7448,0.7325,0.7292,0.716
51,0.9188,0.7542,0.7454,0.7335,0.7365,0.721
52,0.9192,0.7596,0.7445,0.7398,0.7199,0.732
53,0.9206,0.7551,0.7489,0.7413,0.7404,0.7343
54,0.9223,0.7601,0.7526,0.7519,0.7382,0.7431
55,0.9242,0.7564,0.7585,0.7498,0.7305,0.7397
56,0.9243,0.7584,0.7531,0.7439,0.7367,0.7275
57,0.9256,0.7577,0.7558,0.7468,0.7546,0.7328
58,0.9262,0.7593,0.7578,0.7468,0.7472,0.7397
59,0.9269,0.7612,0.7476,0.7471,0.7395,0.7256
60,0.9279,0.7667,0.7589,0.7503,0.7426,0.7258
61,0.9287,0.7679,0.7582,0.747,0.7502,0.7311
62,0.9302,0.7702,0.7622,0.7536,0.7523,0.7344
63,0.9307,0.7743,0.7609,0.7565,0.7367,0.7278
64,0.9309,0.7707,0.7616,0.7536,0.7379,0.7386
65,0.9323,0.7672,0.7567,0.769,0.7329,0.7283
66,0.9322,0.7689,0.7578,0.7689,0.7338,0.728
67,0.933,0.767,0.7588,0.7624,0.7366,0.7311
68,0.9338,0.7687,0.7632,0.7666,0.7385,0.7428
69,0.9336,0.7706,0.7639,0.7659,0.7376,0.7332
70,0.9348,0.7658,0.7649,0.7669,0.7503,0.7323
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,